State,Population fan
Alabama,0.0
Alaska,0.0
Arizona,126026.16399999999
Arkansas,0.0
California,7686852.626
Colorado,311745.128
Connecticut,0.0
Delaware,0.0
Florida,2823977.751
Georgia,1424549.225
Hawaii,0.0
Idaho,0.0
Illinois,1232175.055
Indiana,0.0
Iowa,0.0
Kansas,0.0
Kentucky,0.0
Louisiana,0.0
Maine,0.0
Maryland,0.0
Massachusetts,3658.248
Michigan,119229.05600000001
Minnesota,1680582.5890000002
Mississippi,0.0
Missouri,1098211.4
Montana,0.0
Nebraska,0.0
Nevada,0.0
New Hampshire,0.0
New Jersey,2555.1
New Mexico,0.0
New York,0.0
North Carolina,0.0
North Dakota,0.0
Ohio,546742.7459999999
Oklahoma,0.0
Oregon,0.0
Pennsylvania,1998624.866
Rhode Island,0.0
South Carolina,0.0
South Dakota,0.0
Tennessee,671264.49
Texas,422986.498
Utah,0.0
Vermont,0.0
Virginia,0.0
Washington,925963.22
West Virginia,0.0
Wisconsin,0.0
Wyoming,0.0
